id,Amount,IP,IBAN,CC_ASN,IBAN_CC,Timestamp
107,60636,203.201.248.141,GI74 ZOXC S9CP WB5K OI5E 399,,,1421226462
108,78143,225.35.229.177,EE38 4150 3594 5118 2982,,,1374069847
109,40096,236.137.59.82,TN29 8509 0258 5208 3760 6404,,,1413398989
110,81360,12.111.82.33,FR57 6821 6955 69N4 JYBK YTNS C34,,,1446057820
111,14561,216.151.241.92,MD81 510U LIPX 3XR8 91KV 9HRH,,,1327964106
112,65769,29.156.194.138,DO75 PGX8 0923 2787 7915 0110 8642,,,1436009006
113,48680,234.67.181.94,BE06 4316 5099 6375,,,1425934752
114,56821,86.80.97.254,FR62 6148 7594 877C ELID RGAC Z50,,,1306812773
115,47237,1.168.240.64,SE82 4984 9408 7326 1835 0624,,,1412625457
116,76747,214.25.81.44,DO25 NJKP 8731 0799 2327 5802 9649,,,1424478549
117,54369,61.71.182.218,FR78 6541 0163 77OY KJU5 CYRI Q29,,,1340839101
118,22383,96.44.196.116,FR36 4996 8624 70Y4 V0YB MSBU R49,,,1399574677
119,88446,80.129.110.52,FR32 7464 9096 53YW IH1Q IGT4 A62,,,1393449842
120,21778,4.104.90.175,ES91 5729 5819 2849 3525 4742,,,1464869364
121,46058,247.172.89.160,CR09 6080 0467 4180 6811 3,,,1363464361
122,84466,91.132.253.239,SK85 5332 7845 1685 1310 1262,,,1379831579
123,44261,42.158.48.180,IT91 H102 0264 506V VUDU D4DM EWJ,,,1411704045
124,52054,134.253.49.232,HU63 4078 9795 5355 5896 9467 6743,,,1361368068
125,49901,79.47.69.193,AZ25 VLID F3WV MRJU TQP4 XWCF P6LA,,,1412704058
126,62108,29.50.168.155,FR31 4658 6640 123H ACIE ZWTP 950,,,1329381908
127,50960,143.231.49.220,FR63 9542 0634 444D OFJN RRCV X69,,,1483421155
128,32956,192.238.119.38,DO44 A9KO 5164 3510 2035 7063 4832,,,1336239879
129,68843,147.198.123.17,FR20 7054 8918 35AG EKKZ QSYH O38,,,1398284397
130,81592,55.138.190.104,AT37 1689 3907 9397 0720,,,1366058266
131,30585,220.103.63.87,IS30 4275 3660 6884 9935 3747 94,,,1353485804
132,34299,50.125.37.73,DK09 0091 9471 4790 29,,,1348165769
133,47672,61.247.103.183,ME54 7510 0735 0873 9685 39,,,1390268277
134,89247,55.253.74.98,NO30 5192 7483 248,,,1430405054
135,48994,130.235.184.140,FR44 4978 4012 04NV CWHZ BOLB 072,,,1457697439
136,55171,37.247.186.168,BA98 8574 5264 6332 6815,,,1342821746
137,11553,114.122.121.228,KW88 ETNK UZB1 GMV9 9EZ8 NQNE AACU OK,,,1388371586
138,34248,232.90.154.47,FR03 1810 6340 90BG OTMF GYHI U68,,,1358214541
139,81043,163.173.115.78,FR35 9241 6763 78VT 60BG ZO4L P03,,,1384355724
140,42505,50.151.196.229,TN55 6187 3016 4232 6307 7799,,,1376625696
141,7623,97.41.31.86,PK51 UWWD ETJO RMEX E8FQ VOTI,,,1407379815
142,74563,193.240.122.163,FR30 6456 5485 9809 PGSZ JQNT P07,,,1473667382
143,18155,114.51.55.147,MR97 1271 3759 6457 5696 5199 017,,,1433953990
144,67188,186.12.4.63,HR48 0819 1453 3096 4853 2,,,1337115601
145,32170,57.232.64.30,MU17 ZRYQ 5084 4727 1329 8301 775J MH,,,1305459526
146,10332,16.213.113.52,RS46 6002 3742 2973 8935 35,,,1360306316
147,32939,195.203.49.208,SK91 9870 4265 5925 6334 5715,,,1465300782
148,38918,31.209.171.77,MT95 RDOD 4575 2J3J V2GG D7WN LA8B ZB6,,,1324083313
149,24379,66.144.151.248,LI33 5150 8OZS 2J2W XKRL T,,,1341728441
150,52776,139.51.21.26,FR37 6660 0582 67HJ 3ONY LRDY 356,,,1318672145
151,52295,155.198.11.150,FR10 1341 7244 242J VSUS 3GDF H31,,,1327442818
152,15834,117.106.181.31,KZ69 6752 CVDE ZLAX BE21,,,1343478203
153,80168,89.59.49.209,BA30 1210 1035 0676 7757,,,1424215656
154,83672,247.22.32.189,HU96 5533 7620 1045 8043 0762 4275,,,1311487629
155,73546,204.183.177.88,FR13 0861 6616 00EX LSKV 0YUY Q34,,,1321782774
156,72952,225.202.26.67,HU05 1344 3496 8512 9185 3220 8323,,,1338552112
157,22182,57.110.225.132,RO31 YJYR 6GOW AT5P UPX0 SUKJ,,,1325909304
158,23145,155.153.42.113,NL23 KNRM 0963 5863 05,,,1297827836
159,39349,11.85.81.43,HR04 9543 3353 4420 2395 8,,,1334264285
160,23025,250.95.222.116,MD96 ZTXS EB75 R606 L9QL RGKJ,,,1427654006
161,77295,166.98.239.14,IT93 Z703 5741 814I USK7 WBWJ U2B,,,1342200510
162,17408,195.238.86.232,GB68 CVKQ 8861 3486 8952 86,,,1414971252
163,6813,71.57.126.38,BG47 ZKLH 2050 51YG H9PO 81,,,1316947925
164,28510,124.57.169.36,ME75 2389 4996 4030 3159 19,,,1354252346
165,43275,172.61.83.112,CH13 5957 88C0 QRH5 S2YM V,,,1366488827
166,7339,207.230.174.210,ME24 3764 6486 2317 0052 58,,,1312445859
167,43092,17.25.75.241,PK20 CDKQ LDSC U55B EY55 7DHR,,,1358023148
168,22776,200.40.130.0,FI94 8628 6470 6193 71,,,1305197584
169,7870,249.54.18.5,PS93 IPGF 4083 UMVW XBHX HIKJ SPFG L,,,1336467024
170,45479,131.160.50.87,FR92 5769 1104 09YO UPDK FGC3 B68,,,1307094170
171,74858,83.68.96.161,CH61 6908 7SF6 BACF UDLX W,,,1295999802
172,64660,110.119.93.169,GT31 RYLN ZWUF G760 IPS2 2L9H 5SXJ,,,1435047092
173,18318,239.238.79.136,CZ04 6327 7963 2226 5552 4196,,,1477549249
174,21886,225.51.121.150,SM89 A053 6355 2537 FCRS VADK GFM,,,1482432940
175,86038,188.127.83.216,LU69 707X FGL1 JI5D KJQL,,,1484018622
176,37876,73.106.145.175,FO43 4148 3757 5332 72,,,1319514450
177,8543,204.116.223.26,SA86 85LP R8NH JFHU 6PIC 2RW4,,,1395724023
178,54384,183.96.98.112,CH61 7208 56Q0 H5DX KOCW F,,,1301033336
179,13272,27.100.244.213,IT86 U663 0196 231N SCAJ 1XOG GQD,,,1415947137
180,52901,152.113.87.123,KZ56 849V F8MC 5ODJ SOOT,,,1360806621
181,34368,111.199.25.147,CY29 4961 1734 IDON ZOKP 26VE NGEG,,,1461795981
182,26607,9.170.201.66,GR07 1855 4732 PTQM 9EXM PQYP M2H,,,1375588525
183,5966,81.177.120.45,TN52 9308 9797 2785 3317 4799,,,1300776365
184,32379,194.108.80.165,RS59 2203 1767 8778 4071 95,,,1459448016
185,47509,66.237.170.233,IT83 C585 3719 304F Q5IA PBB4 K7K,,,1340942838
186,15296,82.189.249.10,PL75 8349 5795 1534 5737 4427 1685,,,1471061065
187,6796,161.112.128.235,GL59 6139 5963 4839 21,,,1421220983
188,82370,18.127.133.76,AT65 3033 6829 6692 2464,,,1312326147
189,38336,136.55.194.61,FR70 7098 0772 61MT YXW7 Y9T6 P06,,,1381104011
190,44089,66.65.64.232,BA19 2971 5826 0654 1609,,,1485425876
191,85187,197.115.153.146,MU45 RASP 8110 6033 0068 3263 080O QC,,,1459208929
192,47736,78.83.11.180,RO49 DAXP 9L6T IL18 PFLQ QVAN,,,1325087204
193,46491,53.234.29.99,IS37 3829 7209 1534 8788 6411 19,,,1477164165
194,35548,182.16.100.58,FR76 7714 8345 3099 DGKU 1GMJ 371,,,1475647083
195,70071,141.159.197.3,FR21 7169 4480 27RY 1FQN FMGA I12,,,1387305920
196,75626,111.51.177.155,TN58 4026 5956 2726 1244 3297,,,1408541450
197,78991,74.108.212.243,IE60 GXYI 4178 3954 4743 47,,,1400111900
198,58242,102.71.142.214,ME68 0816 7955 9929 0999 03,,,1325696389
199,41550,226.19.116.48,GL67 1498 8237 7548 39,,,1482707985
200,8489,85.95.209.198,LV62 EOVC OUN8 N9IY PSAW P,,,1457617361
201,82410,254.111.61.76,DE41 5963 1610 3353 8603 25,,,1310838378
202,24438,208.126.73.25,FR77 5518 2069 95BN PJSQ 47QP S15,,,1422816774
203,77333,13.124.203.134,ME75 2947 8942 5859 2770 87,,,1478144585
204,84797,214.4.159.109,FR59 7089 9814 48KT BXHL XEEM U09,,,1352044451
205,25574,65.170.92.193,AL89 1020 1758 M7XG 0QEH 8Y71 CIG8,,,1459433468
206,89306,134.108.249.101,VG52 CUPE 5494 1314 7335 4318,,,1398469046
207,37409,208.9.53.234,FR28 5528 6077 799X FJ2H HUVM E96,,,1487205337
208,32805,0.156.237.75,KZ41 898X LHUP ILWY J14Y,,,1492925095
209,82077,205.24.139.103,IE20 HWVO 2555 7036 5940 66,,,1467712403
210,58870,202.166.41.218,IE23 CYVV 7743 9178 9888 15,,,1309873322
211,57758,127.197.67.78,NO56 3936 2658 978,,,1384793330
212,63299,84.216.223.37,SI55 5335 8900 6109 836,,,1453024724
213,28474,182.99.150.191,FR02 7205 1933 8249 Z3W8 CFGV I90,,,1358685410
214,40187,70.51.171.34,SM31 R099 3537 918J TNAG JYXZ A66,,,1365488780
215,16946,94.242.189.203,FR13 9067 2104 71JY 75CD RDIR A46,,,1361817542
216,26360,74.165.252.162,IS42 4652 0669 8514 8551 8316 60,,,1385568617
217,33064,33.53.126.147,FR73 1216 1629 058Y IQ9C UGCS Z93,,,1349998635
218,57152,43.214.146.219,BG46 GEJG 0275 77EQ RC4R TQ,,,1488694627
219,55133,4.156.102.241,NL18 WLPW 1932 9406 08,,,1311930405
220,85005,217.254.103.253,CH90 4571 2GZA F3HC TCVU T,,,1416978324
221,73470,106.44.180.231,AL65 8843 7549 VR4F 3OO0 SQ6J NAL4,,,1341502681
222,82259,248.142.125.97,BH61 HNSO J5N7 CTH7 94UY SP,,,1432045440
223,70781,178.33.194.14,GT09 HQJ8 IYZH FYD6 ALWW NXRV H4TT,,,1356014054
224,88303,18.67.150.253,FR15 8658 9626 15SA ZTK1 EV7Z J87,,,1377004370
225,86915,227.61.44.30,PT06 1559 4099 5415 7680 4430 5,,,1393349530
226,20820,149.196.55.200,MT51 ZWZE 4075 92QB ATI6 LBVW D8R3 UDJ,,,1315695790
227,16789,48.77.18.139,PK65 QTWN EEO9 NXHT 1VB5 XCG5,,,1331644759
228,79334,218.124.205.223,NO37 8791 1134 294,,,1321415475
229,30070,172.160.39.214,FR32 0859 9441 57OC VZPU 9VIT I83,,,1411083766
230,85362,3.145.149.138,NL78 MKQN 6662 1826 73,,,1488450254
231,53191,103.249.189.40,HU66 3023 0322 7001 9615 5979 4312,,,1334048184
232,84237,76.162.17.249,AD65 9423 6035 P7ER JS8F HKGL,,,1407879969
233,42664,43.145.84.156,FR50 1773 3081 65KE E1T3 X2UA M30,,,1394836268
234,15869,248.194.161.165,LU51 576Y R3ZO US92 VYWZ,,,1489832856
235,66434,107.98.6.208,MR75 2412 2859 7334 3023 8479 823,,,1307807903
236,43109,32.109.43.55,BG72 GDBZ 2240 50PB QIGY ZC,,,1409655630
237,81332,174.65.233.154,SI21 0561 4044 8586 837,,,1366623348
238,23531,143.98.97.126,FI09 8290 4877 3284 61,,,1310241078
239,6201,16.253.202.44,FR51 5396 7655 41UF MRFX YYKD 803,,,1400503413
240,52114,64.230.135.45,FR80 0193 1060 158P VI0H EI0P X75,,,1463129411
241,22024,102.126.226.98,AL04 7188 3863 SAAH URQV AUCV CJNQ,,,1350654961
242,21384,114.158.138.149,KZ70 982R QNDN OFOT K7EL,,,1453363604
243,65668,33.32.57.234,MU33 PQVN 5723 3528 3999 3559 390G YR,,,1352500120
244,68726,205.119.170.89,FI26 9860 4706 9716 05,,,1386118370
245,72338,65.150.141.128,HR77 0069 8465 3353 5069 8,,,1370587849
246,43304,65.234.109.172,SI28 9290 0229 1829 606,,,1480967595
247,68776,114.115.112.141,BA63 0621 5078 3777 4425,,,1431181064
248,14237,71.240.77.184,TR72 0236 7L9X WODK YC9H Z7OP 4N,,,1388995590
249,68341,53.36.215.7,GB42 UHFT 1333 1009 5687 80,,,1381458808
250,39228,115.40.187.13,FR46 9952 3094 575V EIXS UGML G37,,,1489887755
251,18491,52.76.17.3,SI47 9788 8316 7195 995,,,1431105198
252,50012,71.50.5.104,GB75 AKMH 4044 2901 9886 10,,,1414131767
253,41646,29.35.252.190,AL83 4002 8544 6XKO XJKI FU9O WVHA,,,1326382632
254,45530,7.71.182.129,PS07 FSTZ ICWG 6HNK R4CK 5JOE EBNV W,,,1296373531
255,59151,224.236.101.137,PT58 7418 2018 5638 6294 8472 4,,,1468490561
256,33422,18.13.185.55,BR49 1994 7935 9301 6123 9018 518A U,,,1494097332
257,11086,48.179.156.6,BA39 6625 9860 4269 1393,,,1480441375
258,16028,30.51.184.232,MD68 CDVT IKYN 1QWO LQ5Y NZ2B,,,1458938350
259,13074,17.153.130.227,PS72 ROGQ YA2G MCN6 DVBV UURX BEPB Y,,,1426091010
260,80924,9.199.200.24,DE86 3589 7695 4120 2421 85,,,1370377304
261,30486,183.3.239.201,IE64 SLAT 7664 9662 0473 31,,,1351463854
262,17474,18.250.87.209,KZ48 260L BHET W6VC LVU4,,,1327133335
263,86600,78.167.133.189,VG45 JKGQ 4283 0159 1939 9457,,,1436246292
264,42825,254.78.46.43,MD64 DAUE LW79 HTIM PZC3 TQKG,,,1466848275
265,22046,236.226.233.138,FR67 4014 5483 67PL XHNJ ALBN L93,,,1320567908
266,86138,22.229.27.117,MU53 NOAN 8655 5900 1584 5158 997C QL,,,1473318809
267,37656,218.107.110.238,DK97 8039 8430 7833 63,,,1468030345
268,29452,238.170.110.133,BA77 5294 7502 4462 0828,,,1494131318
269,68318,112.165.65.210,KZ63 0407 8VTG IIQC VFTM,,,1463601080
270,75104,172.252.116.205,FR60 3451 6155 41TV Y1WE SOGO D56,,,1362320282
271,85473,199.39.51.62,HR75 5668 5224 9739 0136 5,,,1396788318
272,80228,213.65.52.198,AL40 3334 1890 NWN1 BF2R KJLV IC4S,,,1329512628
273,76898,9.16.196.185,KZ72 355C AHY4 IDHP DRNL,,,1463777176
274,35206,204.103.16.44,IE30 SEZK 5882 1159 6665 47,,,1492575840
275,13654,159.238.103.47,CH76 9508 9YWQ FJPU DN2H M,,,1295058701
276,41935,148.225.178.253,FR67 2854 8736 42AX N9RJ IS0H M54,,,1331133590
277,47023,178.142.194.179,MR31 9297 6340 5440 6197 1001 550,,,1478273579
278,34692,182.99.126.121,FR05 0391 1100 190I C4GP JWBS T94,,,1484408121
279,50275,194.70.45.215,SA91 07QF JWDB KHDB MEEE MTF4,,,1322078215
280,70173,185.198.15.220,FR95 6977 6838 69BH TJZD WHEA U58,,,1335292566
281,8366,104.73.166.94,CH05 8456 8LSZ BL7D FJAV A,,,1378903478
282,76099,204.126.5.251,FR30 0925 1319 25ZQ NLIW CKW6 R96,,,1397031708
283,15698,86.151.251.186,IE95 OCHH 6650 7355 3391 05,,,1332184143
284,36242,187.41.157.155,FR38 4887 9898 40IW IKWN E0IY N94,,,1418498888
285,27040,247.80.226.105,GE17 HL94 8764 9651 1299 41,,,1370923482
286,38579,237.206.73.180,FR05 9582 3230 05S8 2XO1 3HTM O51,,,1298894621
287,66302,107.75.178.83,LU69 899U VPII B20X 2CR0,,,1314845151
288,37606,223.48.153.35,LT80 5519 1745 6385 1716,,,1483689498
289,42121,69.92.104.226,IT21 I851 4923 877W TI5J P2BG BKJ,,,1375482968
290,62777,234.252.39.236,MU20 SMHS 7365 3520 2201 2070 927B FI,,,1302651695
291,15508,78.247.227.223,AZ41 TLSK JCT4 J0CN YO8P PKIB BNZP,,,1360547155
292,88149,45.27.134.127,GR69 6947 270F 4QF1 CDWF YS9N 3MH,,,1456402093
293,70627,71.96.13.80,SM43 P263 3680 420P RHDR AMXN BQY,,,1435112873
294,59481,167.15.76.95,AD81 8294 4374 M4UB M8FW W4KE,,,1309212765
295,34271,9.90.28.230,FR43 9178 1671 616H BGQO HJET A93,,,1338657616
296,72917,218.182.170.3,SM31 Y903 5794 675X AR7Z 9IRN X5K,,,1414548640
297,9534,180.28.86.144,PK91 EQEY FUWS LZJN RDWR 6XPP,,,1423991111
298,48908,16.226.70.2,AT30 0222 8116 1304 3111,,,1414436225
299,55102,196.29.52.196,CR56 0424 9508 0618 4152 1,,,1308060149
300,51356,82.168.231.42,FR26 9318 8947 6633 TBJV YHOS F76,,,1465698142
301,27952,10.152.71.131,FR68 4607 1382 51NR XDLP PODQ L75,,,1489432670
302,19582,39.179.72.235,LB10 1316 EFYB DM4U GD8H FO1K 3XWY,,,1312494121
303,88039,77.179.9.66,DO27 UFQD 3401 5831 7111 8771 3111,,,1403812149
304,20059,200.43.135.240,SM56 Q915 4471 063K VY5T IEGE LXX,,,1328303409
305,15251,204.160.98.249,SA68 27BG KY20 LJLM XITD JCDJ,,,1381107475
306,8314,180.172.97.34,SA37 02OX ZSJD PTH9 QOCA PATR,,,1453831356
307,23502,8.32.146.246,LV11 WHRY PELE E8DY 7KAP 1,,,1414241291
308,74157,153.78.11.140,IE57 COKU 3481 7851 6002 12,,,1431948550
309,70372,206.162.187.41,FR52 8334 5754 612L O1MZ ZQJ1 T01,,,1349426151
310,17718,246.38.132.90,BR57 7965 5729 3402 7742 4572 162W R,,,1372732109
311,9619,120.237.21.94,AL15 7093 9794 G2NY AHQ8 TQVD 1NUV,,,1313360108
312,72337,62.30.174.243,FR56 7135 8249 44B7 OUN0 MKPC V27,,,1350270433
313,70350,23.128.216.154,IS24 8696 5622 6832 2116 6267 42,,,1327033262
314,46614,22.56.249.129,AD20 1811 3585 GB02 AVVS EJUU,,,1463614170
315,70171,80.148.220.157,GR35 5976 659J JIT0 BWE1 KWFT 6BG,,,1349529496
316,26168,110.92.247.255,FR66 7392 7840 53LO 22II QKAV B32,,,1309810248
317,50243,232.27.116.111,TN40 6540 8642 1164 8028 7354,,,1457835318
318,16348,179.167.92.233,MT92 NFNB 0743 297S IJL7 LQCF X6CE BNA,,,1335237043
319,72925,144.0.202.104,FR08 7807 9367 82KF JDA2 WKU1 Q93,,,1481173589
320,37415,176.43.32.58,MC47 7044 2474 8024 PHBO 5YZT Z66,,,1408369083
321,66384,35.255.113.24,GB04 CSXO 2736 9110 3247 36,,,1398639699
322,41150,212.38.244.168,GL07 5925 9091 8923 95,,,1455237622
323,62878,76.139.254.237,SA93 235M SE8B WIVO MJQ0 P62O,,,1383403249
324,25656,137.250.61.63,FR81 2198 7307 58QQ AUKM 1BQF 840,,,1415483941
325,52404,174.214.58.115,FI88 7084 9393 7201 01,,,1411942733
326,78293,23.201.61.136,NL02 UACA 9541 6183 84,,,1310707910
327,33662,27.76.114.16,FR23 4041 1474 76TX RJ2W GTSA D98,,,1446614634
328,64417,145.248.113.4,PK76 QFXH WW6G GJWZ FTVG YFAV,,,1388465081
329,22523,112.230.146.52,PK06 YQQS SHIM BKUJ BWQR NXVU,,,1365200599
