id,Amount,IP,CC_ASN,Timestamp,Card type,Card number
36,71149,89.217.9.145,,1374681158,jcb,3528179027944650
37,75418,170.131.10.162,,1318122674,jcb,3574176955849840
38,26062,255.250.207.72,,1436527286,jcb,3533240678402660
39,81499,62.220.46.5,,1373133969,diners-club-carte-blanche,30583609588016
40,7861,90.96.109.225,,1382022751,americanexpress,374622658584015
41,63918,218.179.253.120,,1309762213,mastercard,5463990018170470
42,60081,63.53.128.49,,1340804773,china-unionpay,561049812996555000
43,9354,25.96.13.166,,1459809399,jcb,3570126138708460
44,63030,248.72.70.191,,1329020303,instapayment,6375843085859090
45,65809,24.237.81.211,,1342991499,maestro,6759259877721000
46,18570,26.174.214.138,,1365121273,jcb,3546044712716300
47,79148,201.16.69.82,,1480426878,china-unionpay,56022565947020300
48,27802,88.14.244.166,,1465893888,jcb,3532596930693130
49,6139,70.241.28.93,,1347583512,mastercard,5142143578506350
50,61055,224.49.34.108,,1368217070,jcb,3579692770014580
51,20518,90.247.86.131,,1315034822,jcb,3577213524774190
52,81637,180.47.215.140,,1316038440,jcb,3551995862640270
53,53288,82.134.18.52,,1376655312,jcb,3583108303298090
54,41032,242.33.107.208,,1364165963,jcb,3571911528851340
55,30869,11.14.246.56,,1383479313,diners-club-carte-blanche,30290136977270
56,70802,227.93.70.156,,1476240887,jcb,3574110876731390
57,42716,143.33.149.19,,1482824419,jcb,3555471063002480
58,48352,52.55.240.235,,1462715780,americanexpress,374283648416501
59,61649,231.87.5.115,,1464829250,jcb,3587741010686340
60,51051,160.157.160.218,,1329566151,jcb,3586653279674190
61,26394,206.136.124.84,,1304963349,jcb,3551750294345060
62,11993,71.24.83.45,,1310370028,mastercard,5010122885329960
63,83541,15.48.192.89,,1405246422,bankcard,5602220984449790
64,5863,13.60.2.104,,1338235669,diners-club-carte-blanche,30415550118867
65,33207,140.176.31.139,,1382623022,jcb,3570914153881980
66,82878,172.252.108.175,,1402444283,jcb,3547478888488200
67,36933,37.2.35.128,,1444215834,instapayment,6395171525101500
68,79466,50.18.1.70,,1488749164,jcb,3537894866721990
69,84012,233.74.183.151,,1396959409,jcb,3555589241560620
70,81827,3.122.56.172,,1309687468,jcb,3539750814909810
71,61902,145.127.24.113,,1376946676,solo,6767032948713490
72,57361,47.134.151.40,,1389182465,china-unionpay,56104583816816400
73,67743,151.177.102.15,,1376111831,maestro,6761629746188320
74,7499,203.20.176.133,,1479460268,china-unionpay,560224026287319000
75,15936,32.29.12.229,,1478545810,switch,6331102170826980000
76,34057,21.157.2.143,,1323411695,mastercard,5284230956979010
77,41388,229.169.152.199,,1386515207,jcb,3553038412510520
78,16514,178.157.226.144,,1373944852,americanexpress,374622373778405
79,78628,24.221.2.143,,1373086268,jcb,3553121783617580
80,23588,62.71.193.33,,1389932028,jcb,3536242800409700
81,10467,12.109.95.48,,1480590818,diners-club-enroute,201504239528183
82,49430,175.178.210.28,,1366520865,jcb,3576930333978300
83,57109,65.87.0.137,,1491795506,diners-club-enroute,201943570075547
84,15719,138.231.237.243,,1356694679,jcb,3574209813997480
85,80169,197.5.130.226,,1362597741,jcb,3562301056741530
86,63931,206.31.124.246,,1360047431,visa-electron,4844407057000430
87,78430,216.223.85.184,,1450703127,maestro,6759743623551090
88,32210,118.11.81.154,,1370439080,jcb,3582377229248640
89,26077,121.211.83.75,,1424060540,jcb,3550974001447320
90,49216,28.38.26.111,,1453828765,maestro,5893007976377280000
91,51271,103.75.187.219,,1471490084,maestro,6304086708226720
92,40532,43.243.236.160,,1402555955,jcb,3555510679646060
93,41920,187.174.182.250,,1355080349,diners-club-international,36649764719540
94,6368,78.116.132.1,,1336185636,bankcard,5602218392074100
95,71235,31.124.0.19,,1314627749,mastercard,5048378212600460
96,29388,14.25.230.167,,1449992112,jcb,3539699088551020
97,20358,216.233.36.233,,1403460486,bankcard,5610778407453030
98,5598,101.78.248.149,,1325454002,maestro,60426749097259300
99,82569,162.170.139.86,,1406482739,jcb,3548587619617150
100,63831,7.160.186.222,,1471781341,maestro,50380256201465200
101,89244,219.173.101.138,,1309557325,maestro,5893926964586650000
102,17871,64.115.99.179,,1306115714,americanexpress,374288131314089
103,20217,159.155.188.32,,1453468683,visa-electron,4917753892768630
104,69619,248.99.162.163,,1449482597,mastercard,5364559440274960
105,89449,163.163.12.60,,1332258597,diners-club-carte-blanche,30587175689165
106,59749,197.203.169.108,,1402114875,laser,67065213782470900
107,85020,95.163.140.132,,1388310016,diners-club-carte-blanche,30312246439833
108,87327,201.162.79.82,,1361698129,visa-electron,4175009412107550
109,73769,237.228.135.136,,1401624498,mastercard,5048373875693320
110,22928,44.21.137.196,,1477687389,jcb,3535944576753180
111,18514,197.144.174.188,,1424015934,jcb,3558210230053280
112,32252,140.47.192.18,,1397278261,mastercard,5208935882231200
113,29323,80.68.41.133,,1401008351,visa,4017956743066
114,35563,44.206.54.244,,1359647080,mastercard,5100179541635820
115,74558,101.128.153.40,,1376826021,bankcard,5602248241798580
116,14559,49.96.120.120,,1490179694,jcb,3580183928650640
117,33708,145.75.3.89,,1476448412,jcb,3558231422578540
118,63899,198.27.84.16,,1488811233,jcb,3537145698709290
119,60211,4.6.96.177,,1366604646,jcb,3582522605538690
120,26011,222.179.77.168,,1428989178,diners-club-carte-blanche,30412322175283
121,33310,96.148.79.252,,1309484879,diners-club-enroute,201622532455183
122,34895,124.123.218.136,,1358836087,jcb,3553107521847340
123,83821,109.112.235.130,,1456875138,mastercard,5010126403720010
124,49385,131.130.115.245,,1436723419,solo,6334536860757180
125,7805,114.169.18.3,,1357010987,jcb,3569173673056710
126,8061,67.185.95.27,,1488062547,jcb,3570067340727500
127,20654,215.15.23.126,,1361731177,maestro,6304348149492470000
128,36099,82.210.46.9,,1401388859,americanexpress,347958716578134
129,62223,40.222.89.63,,1462241693,instapayment,6391835328571100
130,29532,229.246.198.5,,1406733753,maestro,6763323098602350000
131,74128,251.121.172.158,,1433991107,diners-club-carte-blanche,30289027761298
132,86025,215.109.254.52,,1369046759,jcb,3530352255197350
133,14253,93.148.61.33,,1326859353,jcb,3569611139573900
134,86368,6.114.187.246,,1331720573,jcb,3561115358545700
135,34060,45.189.156.125,,1441676211,visa-electron,4026210705791440
136,20852,238.172.33.232,,1388114254,jcb,3533897909213550
137,34417,10.156.136.237,,1363692247,instapayment,6377251606262800
138,54089,134.186.21.213,,1363543666,maestro,6762890728682050000
139,50419,25.60.176.86,,1461471955,solo,6767181816710250
140,19013,254.222.192.86,,1308945601,jcb,3589249001202440
141,15722,232.144.102.227,,1483516233,diners-club-us-ca,5555912128052870
142,70332,62.44.83.144,,1457634407,diners-club-enroute,201968410043603
143,76832,91.84.140.49,,1463234368,jcb,3534161030421540
144,40518,63.35.131.223,,1453283469,china-unionpay,5602252022688610000
145,59829,41.94.218.32,,1440559680,jcb,3578675624440310
146,41094,202.161.200.157,,1374224472,jcb,3556503606845590
147,65082,167.133.216.189,,1420724989,maestro,6049574889895680
148,80443,237.16.165.84,,1461634295,jcb,3569702309686290
149,12728,52.128.240.83,,1378609924,jcb,3559682219137470
150,29933,5.114.130.184,,1319749718,jcb,3557653012156380
151,26734,203.200.237.113,,1468886904,china-unionpay,5602217307544680
152,17681,2.220.109.87,,1411352159,china-unionpay,5602216161948670000
153,57763,227.83.223.97,,1475369882,jcb,3550274339985180
154,33464,4.161.97.178,,1319579604,jcb,3545523638315630
155,84512,10.110.27.211,,1430873800,diners-club-carte-blanche,30414427325359
156,14567,105.13.200.11,,1310904479,bankcard,5602252303457850
157,47647,241.53.207.81,,1406154918,jcb,3589974822796840
158,10868,204.174.7.158,,1427008598,jcb,3552090358144340
159,76564,81.147.22.203,,1414177486,china-unionpay,56022156017849100
160,78935,192.24.100.15,,1424996774,jcb,3570932323823690
161,78645,193.168.172.128,,1299472838,mastercard,5002355638400320
162,82644,254.220.147.158,,1397006276,jcb,3562273757573290
163,88252,31.252.94.33,,1408162773,switch,491152037271701000
164,81302,82.255.60.19,,1354616631,mastercard,5260216149582000
165,23471,215.115.231.131,,1401738890,jcb,3575300833996940
166,43141,202.164.254.42,,1420776921,bankcard,5602212102405060
167,47138,114.20.41.166,,1423466017,maestro,6042382287933850
168,19880,206.61.86.50,,1397383518,visa,4017957978943
169,29846,148.25.55.210,,1383852162,bankcard,5602237079629940
170,6567,202.210.59.177,,1300348026,jcb,3546930559167010
171,79327,190.249.45.158,,1491502573,jcb,3551755761495830
172,14823,83.78.196.205,,1310776058,jcb,3584357528439460
173,70964,20.119.46.136,,1427474228,visa,4017958645202
174,29432,107.142.23.166,,1373321039,maestro,60443731459314300
175,48131,7.58.23.0,,1422751101,visa-electron,4175009269570130
176,78620,217.60.107.228,,1481527511,visa-electron,4508937399620180
177,30922,233.87.126.33,,1474596751,jcb,3577513231439340
178,40081,206.35.116.34,,1489668566,maestro,501801923464469000
179,84698,208.94.183.50,,1311761123,jcb,3550537840284330
180,86050,26.232.217.176,,1319971874,jcb,3544198560870460
181,77006,212.71.103.86,,1315795274,switch,6759055033108330
182,53893,57.203.130.207,,1367764455,jcb,3553466119245690
183,74998,93.228.133.8,,1465544254,bankcard,5602257192571880
184,68504,9.84.89.23,,1370926496,jcb,3580374581371840
185,33460,101.74.191.224,,1322156931,jcb,3558784512487810
186,64926,209.51.210.126,,1360601503,visa,4041372015974
187,60936,231.229.165.228,,1370594414,mastercard,5007663643624350
188,76635,203.212.6.86,,1482016127,bankcard,5602243410726330
189,52070,55.197.99.214,,1423316687,mastercard,5002359039952500
190,63184,54.168.238.6,,1491201099,mastercard,5499880171191580
191,9551,5.167.213.67,,1467126135,jcb,3529267272056750
192,14616,10.81.163.253,,1483030930,jcb,3532692264162150
193,54055,211.213.40.167,,1311763927,jcb,3568287482474630
194,10954,10.53.231.159,,1407304657,mastercard,5108759703921410
195,57838,116.156.203.90,,1331246658,americanexpress,374288523321437
196,67957,46.50.184.224,,1464605717,jcb,3570980235492330
197,45732,11.27.44.76,,1379286495,china-unionpay,560221431466299000
198,6458,115.99.45.21,,1304952231,mastercard,5466300036994980
199,59651,242.142.244.3,,1383549310,mastercard,5334585851074450
200,89937,43.160.223.77,,1491423113,jcb,3537633025619570
201,89629,118.45.215.177,,1480062485,jcb,3540775752699380
202,44731,72.28.77.144,,1321412264,maestro,6759288128997750000
203,14266,182.13.181.1,,1320920047,jcb,3558087569865340
204,24709,53.139.201.61,,1447149933,jcb,3568865802384850
205,6522,179.7.62.150,,1342657043,jcb,3532179705476030
206,11200,95.112.233.199,,1362834068,diners-club-carte-blanche,30333019021731
207,75791,213.161.137.95,,1455845493,jcb,3570391274177900
208,18967,159.157.49.133,,1417266027,diners-club-us-ca,5418049479691010
209,43279,134.114.56.93,,1327634394,jcb,3578737703276070
210,9406,224.40.246.62,,1299101867,instapayment,6391932128706500
211,46163,230.190.83.80,,1464611708,jcb,3534354952180150
212,84350,190.193.197.6,,1392791406,maestro,50189502412575300
213,27105,3.43.208.57,,1317560826,laser,6304106934488220
214,17421,127.54.27.51,,1310713452,jcb,3528993684859680
215,77666,144.109.31.106,,1361507934,bankcard,5602211077672840
216,68356,53.73.226.197,,1337355558,jcb,3579459157152350
217,68148,98.242.169.15,,1341176220,jcb,3569695463269260
218,85483,12.18.196.239,,1315142714,jcb,3539160184927870
219,21349,93.255.219.127,,1339632118,diners-club-carte-blanche,30327314294092
220,28634,177.3.21.120,,1357360364,jcb,3532621492590750
221,77703,235.206.197.192,,1372947601,solo,676776368102205000
222,54593,105.96.119.157,,1296362161,bankcard,5602255947224390
223,56410,240.92.154.221,,1427456595,jcb,3539077173324420
224,12694,62.10.69.229,,1413453345,maestro,604070108908115
225,59136,73.43.37.62,,1421719158,maestro,63043453640467000
226,16712,52.8.3.230,,1370897774,maestro,502075852341266000
227,17266,111.121.13.145,,1372393686,mastercard,5010129100380750
228,25337,212.120.105.196,,1349674681,jcb,3576335316972500
229,29698,1.86.34.51,,1340243428,jcb,3545444390192310
230,59404,204.128.206.76,,1380876007,diners-club-enroute,201447744683855
231,74331,119.15.214.78,,1344527233,americanexpress,374622282161222
232,63653,70.84.244.150,,1348586969,switch,6331108656662110
233,32656,245.247.208.215,,1477844834,diners-club-carte-blanche,30191719415979
234,36117,252.7.75.183,,1391037270,maestro,503883271196862000
235,67934,172.43.70.157,,1328655394,jcb,3585775400355290
236,41011,26.251.5.71,,1310718653,americanexpress,372301920275106
237,89313,49.46.54.7,,1428914272,jcb,3564273216570790
238,88934,173.76.59.136,,1481568406,mastercard,5100174261698720
239,82950,154.99.188.123,,1355562853,jcb,3571123365080100
240,8714,236.204.139.199,,1400176450,laser,67094182503253700
241,71054,187.8.246.244,,1434798955,jcb,3561164803214290
242,84462,0.83.214.115,,1478032648,switch,6331100943587110
243,69379,198.58.172.22,,1311939070,diners-club-carte-blanche,30087505255167
244,84087,26.100.106.149,,1300617250,jcb,3580278480620170
245,41268,86.75.133.2,,1343821575,jcb,3528505437158760
246,89053,32.120.109.36,,1405165733,jcb,3528810027742720
247,83900,91.246.222.119,,1462868574,switch,491175218181597000
248,34488,156.49.236.228,,1408669535,jcb,3567754546264240
249,19573,3.9.26.27,,1355670476,jcb,3552741225410340
250,83657,111.133.161.236,,1309850744,jcb,3568878603256710
251,79824,19.97.223.239,,1488163183,maestro,675979979851181000
252,57150,39.217.211.104,,1474023577,jcb,3536284246854680
253,79914,29.113.59.218,,1401442888,americanexpress,345244771254214
254,74613,121.4.159.173,,1341730235,jcb,3530158403634640
255,12823,181.95.233.68,,1341448561,jcb,3570782439093560
256,20420,8.208.40.67,,1459993818,jcb,3564586451820450
257,9842,242.218.93.242,,1307221203,jcb,3547216655041270
258,83631,168.144.131.60,,1352027707,switch,4905667612112170000
259,7183,4.217.123.55,,1343130320,jcb,3543464296556480
260,28637,249.26.135.208,,1444637545,jcb,3539688359664190
261,65009,66.214.198.82,,1297447437,mastercard,5108752548228740
262,19034,49.24.155.251,,1381236465,diners-club-carte-blanche,30575686692414
263,67521,52.65.80.38,,1356122139,mastercard,5595781613886070
264,28059,195.117.91.191,,1320336323,jcb,3528305984510640
265,16883,120.56.213.27,,1428535406,jcb,3549377208377860
266,29800,51.208.148.21,,1355994289,bankcard,5610499417976110
267,80072,125.20.89.79,,1390901567,maestro,604660003155990000
268,72313,213.19.55.244,,1364806891,jcb,3587354254735500
269,53465,155.193.100.46,,1308622449,americanexpress,374622454722348
270,73845,113.17.10.163,,1380141805,bankcard,5602218976871220
271,81319,92.123.120.158,,1473097972,diners-club-international,36461921828069
272,88436,172.140.59.20,,1479983686,switch,493617670251459000
273,44940,49.46.12.89,,1305925155,jcb,3582480990126990
274,66789,52.190.134.167,,1311434687,jcb,3532258289091610
275,56688,185.103.49.19,,1411961513,jcb,3537262773454810
276,12160,195.76.103.80,,1416564974,visa,4538775060740780
277,56556,237.85.8.224,,1490142315,americanexpress,349581825917775
278,80119,204.133.209.109,,1366011811,jcb,3568961558413020
279,86205,97.13.96.223,,1309058169,switch,633333482799619000
280,31654,108.78.25.221,,1329340975,bankcard,5602230616520940
281,59783,227.125.50.203,,1316999049,mastercard,5048370431251290
282,57924,97.62.182.180,,1429729798,jcb,3574035132604580
283,65495,111.244.71.76,,1449058651,visa,4041599496835750
284,20026,165.110.138.212,,1488140027,americanexpress,372301212088902
285,68144,49.131.223.160,,1304014101,jcb,3575996383833420
286,57198,98.5.155.165,,1307141771,instapayment,6378168518406260
287,11213,148.160.114.42,,1375113935,maestro,67615022429956900
288,33530,91.85.111.102,,1449843344,americanexpress,377133210207753
289,46265,130.138.43.56,,1441607797,mastercard,5100148733648450
290,54016,106.8.112.60,,1306237308,maestro,5893317911270310
291,33037,195.127.25.219,,1350483809,diners-club-enroute,201710412402332
292,83438,198.240.95.213,,1368183096,visa-electron,4405394903075010
293,49082,166.245.98.97,,1315879181,visa-electron,4026476354243930
294,42082,242.8.5.239,,1362812890,jcb,3539217034549720
295,76896,40.62.185.110,,1487635491,americanexpress,378354855109604
296,44425,223.153.169.126,,1398932683,diners-club-carte-blanche,30540106155152
297,35130,162.248.35.185,,1454369599,visa-electron,4026168136603270
298,86971,95.106.231.32,,1356203237,visa-electron,4026712690048340
299,48936,176.151.113.137,,1358556891,jcb,3579574228675160
300,38399,162.65.59.214,,1326500099,jcb,3549066470643570
301,53060,30.1.88.24,,1304758485,jcb,3532376214112200
302,57811,21.88.80.165,,1431638949,mastercard,5100144622832210
303,76798,220.130.104.84,,1332358162,switch,5641824209307070000
304,63434,94.15.84.192,,1415190001,jcb,3550073309247520
305,37978,32.21.195.30,,1436481003,jcb,3530164859743550
306,27828,210.253.156.88,,1468369684,jcb,3583636763609810
307,71725,170.166.28.156,,1410508484,jcb,3545625139670610
308,68342,73.169.56.98,,1316440995,maestro,67623487423487900
309,38755,113.194.133.26,,1363453855,jcb,3534188214986110
310,35936,50.67.49.27,,1399035799,instapayment,6391284128680670
311,7192,150.178.49.64,,1384205409,americanexpress,374288461262064
312,72017,53.232.39.114,,1435154163,visa-electron,4917998489609840
313,19648,17.52.232.155,,1329572702,china-unionpay,56101277692118600
314,39506,38.51.85.9,,1365673867,americanexpress,374283914545363
315,38694,164.199.254.22,,1449554527,bankcard,5602227023309560
316,50216,200.101.74.26,,1463565239,laser,6709384337924610000
317,69462,37.184.93.202,,1451194752,diners-club-enroute,201626571953636
318,79681,208.240.203.99,,1351727111,maestro,5038276886056830000
319,85607,162.186.88.61,,1445578907,americanexpress,343907872765989
320,24297,130.81.92.25,,1373105338,jcb,3528515149829820
321,74798,224.102.27.188,,1348672247,maestro,503829882368271000
322,51787,145.59.171.13,,1320144676,jcb,3585591636473980
323,43605,158.100.219.220,,1473357255,jcb,3555634137254300
324,33930,167.106.229.210,,1454248412,jcb,3582640275803780
325,48843,72.221.92.255,,1413734018,jcb,3564499703773430
326,5538,223.95.171.51,,1426990420,jcb,3563030620169160
327,64237,165.167.41.134,,1443383830,americanexpress,374283093868610
328,71773,40.32.196.29,,1301256755,jcb,3581333568668850
329,44760,102.51.59.84,,1299140203,bankcard,5610814380538600
330,71415,79.156.241.220,,1420942002,jcb,3541690565655920
331,69430,43.62.17.114,,1358889699,jcb,3581851024780160
332,19072,61.34.75.216,,1299982952,mastercard,5007662895835940
333,53224,17.128.241.227,,1329047843,americanexpress,374283200195949
334,72178,98.1.170.182,,1299639624,jcb,3537453186230810
335,23599,63.18.79.252,,1456327969,mastercard,5100130417254160
336,42646,100.17.18.172,,1322750563,mastercard,5523465197242890
337,28112,216.165.107.50,,1484038309,diners-club-enroute,201663001850124
338,46832,103.76.209.135,,1297053284,maestro,502020316865500000
339,72078,150.48.101.70,,1428823615,jcb,3571780950440460
340,19664,70.79.167.114,,1373321544,jcb,3584344582553560
341,19335,14.145.137.56,,1368704530,jcb,3568679189684150
342,69005,239.241.53.228,,1414147184,mastercard,5007666082737210
343,19386,130.117.255.156,,1301956483,jcb,3561129630017710
344,20673,117.145.146.132,,1433675949,bankcard,5602220306025770
345,26818,86.88.13.8,,1470043061,bankcard,5602212873500420
346,50927,243.146.73.210,,1330581769,maestro,6763082881230960
347,46898,232.245.198.71,,1430554189,jcb,3574679790636070
348,16038,142.106.26.232,,1433763753,maestro,675952853038355000
349,43454,122.57.23.36,,1424672235,visa-electron,4508967096399270
350,79518,206.141.45.153,,1355360558,mastercard,5100143968274570
351,89649,212.253.225.241,,1323947480,laser,6771917219839730000
352,76211,57.227.212.143,,1365141625,diners-club-carte-blanche,30563529636301
353,38361,53.94.220.221,,1415766232,jcb,3585592566938450
354,9878,249.4.52.39,,1348714460,switch,6759301803491220000
355,61450,240.19.246.41,,1404926380,diners-club-enroute,201627189931980
356,23173,215.118.196.51,,1300486030,jcb,3556852881895070
357,54639,53.251.243.44,,1425849078,jcb,3554471003701350
358,18975,67.186.127.30,,1355636534,switch,6759113757154090000
359,10402,228.46.224.52,,1302194217,americanexpress,374622733998651
360,28913,189.115.204.244,,1444461859,jcb,3575191971202680
361,37251,53.97.182.168,,1457655903,jcb,3538402468659500
362,27280,94.6.156.168,,1410662293,china-unionpay,5602251539563960
363,35003,15.119.179.118,,1399109679,jcb,3580302784531020
364,47913,59.93.143.43,,1388748134,jcb,3548977436298020
365,67800,108.33.235.122,,1471442502,maestro,67636067645050400
366,70161,153.138.140.182,,1489743672,mastercard,5140008683636310
367,61228,50.153.40.35,,1377814369,jcb,3563267220707360
368,36853,103.70.154.94,,1343046905,jcb,3554063352865910
369,88962,171.86.31.77,,1345611822,maestro,675990646942708000
370,82299,193.8.98.245,,1465354970,diners-club-enroute,201818271680318
371,30128,11.215.191.175,,1318003762,jcb,3540545354231190
372,24194,58.144.41.48,,1397270914,jcb,3533460821699690
373,10334,243.250.175.20,,1402895476,jcb,3561243704715420
374,6383,158.96.66.238,,1330136595,visa-electron,4844272381155310
375,54700,169.107.205.65,,1459790298,switch,6333809648615640000
376,22950,149.227.232.63,,1464602038,jcb,3541532527004320
377,34628,37.26.3.216,,1324196577,americanexpress,374622120798045
378,24623,83.98.101.248,,1351687733,bankcard,5602225094772700
379,69949,52.206.164.3,,1456903776,jcb,3567527541652850
380,30103,131.203.169.173,,1444149391,jcb,3580109841749680
381,73951,67.217.186.230,,1430701870,mastercard,5351737053558320
382,84125,7.155.7.228,,1393049055,jcb,3584564211038050
383,43247,129.221.166.65,,1340137153,jcb,3565002292110340
384,63341,69.82.213.32,,1297397869,jcb,3573670378362950
385,26757,229.203.92.130,,1432158692,switch,5641829154728330
386,66182,61.198.249.68,,1454947697,jcb,3567638650237090
387,77483,211.19.140.6,,1492693847,jcb,3574509891147930
388,77650,25.99.199.198,,1306612476,americanexpress,374283619996945
389,64380,147.227.9.16,,1413292926,jcb,3531528360255840
390,70366,114.166.202.179,,1347574148,diners-club-carte-blanche,30177575478987
391,36841,178.67.152.45,,1378913260,visa-electron,4175004223432020
392,14670,122.196.139.34,,1412063944,jcb,3530632183178280
393,60737,84.98.146.3,,1378708502,visa-electron,4913835324035590
394,83227,23.101.64.221,,1307045859,maestro,502060071170146000
395,9328,75.24.57.221,,1333497770,diners-club-carte-blanche,30560889755176
396,55466,65.252.249.46,,1484883294,diners-club-carte-blanche,30110976386749
397,57883,82.76.118.233,,1431309746,visa-electron,4508070983367860
398,29785,97.23.128.238,,1366468449,jcb,3584055391054900
399,12286,17.44.153.10,,1493851968,mastercard,5100147974411230
400,52978,47.206.177.230,,1464739190,diners-club-us-ca,5445362538560090
401,39207,199.152.209.20,,1462862907,maestro,604914667489833000
402,21987,63.185.91.217,,1324079120,visa,4041373258841220
403,68376,245.208.91.109,,1320386572,americanexpress,345527440437396
404,51711,251.30.214.86,,1456573399,jcb,3568546429697820
405,58229,85.211.195.129,,1386890318,jcb,3570703128125740
406,53085,100.203.28.134,,1369778688,jcb,3553700709888060
407,68679,110.95.152.87,,1367822068,jcb,3583706346956210
408,21514,100.61.11.101,,1387890725,jcb,3588532970764330
409,55875,27.184.26.246,,1363363280,jcb,3552487837422860
410,26861,90.188.38.77,,1423178812,jcb,3558492419635240
411,28728,172.248.147.87,,1438006892,diners-club-carte-blanche,30233882935795
412,63382,244.15.64.9,,1311162729,jcb,3567889479082850
413,63192,65.148.197.19,,1315114472,mastercard,5007660421483050
414,87647,7.1.61.212,,1378594563,switch,6759950262182120000
415,65497,22.6.142.11,,1302875307,diners-club-carte-blanche,30347479343989
416,37343,104.93.162.164,,1348241708,jcb,3573530202997500
417,55649,181.54.153.99,,1456302933,diners-club-enroute,201743806572550
418,41756,114.163.27.98,,1391805376,jcb,3549783665926270
419,54366,42.123.151.21,,1319321256,americanexpress,374283140831355
420,74562,65.222.247.24,,1384811970,diners-club-us-ca,5422651497640330
421,24208,214.26.224.168,,1371441336,mastercard,5108759638759790
422,31459,145.179.241.109,,1386999258,jcb,3552273652745740
423,12894,168.145.49.97,,1493175495,mastercard,5007666461001600
424,84885,38.170.234.44,,1298944734,china-unionpay,560222406367885000
425,83869,194.118.29.243,,1476368648,diners-club-enroute,201700690685518
426,88996,179.230.139.85,,1481127230,diners-club-enroute,201609854866162
427,50046,184.246.165.206,,1391623009,jcb,3530319344400200
428,84180,35.237.113.132,,1472142324,jcb,3575076476087390
429,36958,137.180.105.116,,1318953321,china-unionpay,560225268240240000
430,34768,232.29.237.130,,1360133282,laser,6304719804223960
431,59646,245.81.142.168,,1309436371,jcb,3550079934928460
432,16301,123.192.59.242,,1416517424,jcb,3532715794611170
433,78150,121.12.78.50,,1312892707,jcb,3547453747171910
434,85072,209.122.93.186,,1296342233,jcb,3576643517137990
435,86683,158.171.12.226,,1411607447,switch,564182482058750000
436,28398,74.27.154.20,,1466081039,diners-club-enroute,201717150650345
437,51460,122.90.205.211,,1482965186,jcb,3542939471704660
438,29716,35.154.66.128,,1439447516,diners-club-enroute,201850814830134
439,30938,87.208.220.38,,1428996125,jcb,3542102918056630
440,66480,231.208.60.97,,1457478107,diners-club-carte-blanche,30491904047888
441,72582,214.192.243.66,,1381979317,jcb,3563702593873770
442,63218,179.31.187.132,,1452175844,jcb,3535002034166340
443,79719,153.168.2.217,,1476448516,laser,670633009653199000
444,15805,201.132.154.234,,1465880335,maestro,5038376435226990000
445,84896,239.81.234.214,,1330599980,maestro,5038441561727920
446,56790,35.229.78.79,,1428254182,jcb,3568066267520970
447,67141,171.244.229.37,,1434259467,visa-electron,4913616697048080
448,77993,13.142.151.162,,1478431592,mastercard,5100173624710400
449,42795,186.239.171.29,,1452323013,mastercard,5108750733420060
450,15351,46.198.191.168,,1331121748,laser,6706910021433270000
451,83365,66.174.109.193,,1490135413,jcb,3576094207907280
